pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG10523	Bacteria	3	3	1	0	hypothetical protein	New
VOG10524	Bacteria	3	3	2	0	hypothetical protein	New
VOG10525	Bacteria	3	3	1	0	hypothetical protein	New
VOG10526	Bacteria	3	3	2	0	hypothetical protein	New
VOG10527	Bacteria	3	3	1	0	hypothetical protein	New
VOG10528	Bacteria	3	3	1	0	hypothetical protein	New
VOG10529	Bacteria	3	3	1	0	hypothetical protein	New
VOG10530	Bacteria	3	3	1	0	hypothetical protein	New
VOG10531	Bacteria	3	3	2	0	hypothetical protein	New
VOG10532	Bacteria	3	3	1	0	hypothetical protein	New
VOG10533	Bacteria	3	3	1	0	hypothetical protein	New
VOG10534	Bacteria	3	3	2	0	hypothetical protein	New
VOG10535	Bacteria	3	3	3	0	hypothetical protein	New
VOG10536	Bacteria	3	3	2	0	hypothetical protein	New
VOG10537	Bacteria	3	3	1	0	hypothetical protein	New
VOG10538	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10539	Bacteria	3	3	1	0	hypothetical protein	New
VOG10540	Bacteria	3	3	2	0	hypothetical protein	New
VOG10541	Bacteria	3	3	2	0	hypothetical protein	New
VOG10542	Bacteria	3	3	2	0	hypothetical protein	New
VOG10543	Bacteria	3	3	1	0	hypothetical protein	New
VOG10544	Bacteria	3	3	1	0	VirE N-domain protein	New
VOG10545	Bacteria	3	3	1	0	hypothetical protein	New
VOG10546	Bacteria	3	3	1	0	hypothetical protein	New
VOG10547	Bacteria	3	3	1	0	hypothetical protein	New
VOG10548	Bacteria	3	3	2	0	hypothetical protein	New
VOG10549	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10550	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10551	Bacteria	3	3	2	0	hypothetical protein	New
VOG10552	Bacteria	3	3	1	0	hypothetical protein	New
VOG10553	Bacteria	3	3	2	0	hypothetical protein; putative predicted product	New
VOG10554	Bacteria	3	3	2	1	hypothetical protein	New
VOG10555	Bacteria	3	3	2	0	hypothetical protein	New
VOG10556	Bacteria	3	3	1	0	putative predicted product	New
VOG10557	Bacteria	3	3	1	0	gp393; hypothetical protein	New
VOG10558	Bacteria	3	3	1	0	hypothetical protein	New
VOG10559	Bacteria	3	3	1	0	hypothetical protein	New
VOG10560	Bacteria	3	3	1	0	hypothetical protein	New
VOG10561	Bacteria	3	3	1	0	hypothetical protein	New
VOG10562	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10563	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10564	Bacteria	3	3	1	0	hypothetical protein	New
VOG10565	Bacteria	3	3	1	1	gp68; hypothetical protein	New
VOG10566	Bacteria	3	3	1	0	hypothetical protein	New
VOG10567	Bacteria	3	3	1	0	hypothetical protein	New
VOG10568	Bacteria	3	3	1	1	gp70; hypothetical protein	New
VOG10569	Bacteria	3	3	1	1	gp71; hypothetical protein	New
VOG10570	Bacteria	3	3	1	1	gp116; gp77; hypothetical protein	New
VOG10571	Bacteria	3	3	1	0	hypothetical protein	New
VOG10572	Bacteria	3	3	1	1	gp19; hypothetical protein	New
VOG10573	Bacteria	3	3	1	1	gp58; hypothetical protein	New
VOG10574	Bacteria	3	3	1	1	gp51; hypothetical protein	New
VOG10575	Bacteria	3	3	1	1	gp181; hypothetical protein	New
VOG10576	Bacteria	3	3	1	0	hypothetical protein	New
VOG10577	Bacteria	3	3	1	1	gp216; hypothetical protein	New
VOG10578	Bacteria	3	3	2	0	hypothetical protein; hypothetical protein RaK2_00526	New
VOG10579	Bacteria	3	3	2	0	hypothetical protein; hypothetical protein RaK2_00525	New
VOG10580	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10581	Bacteria	3	3	1	1	hypothetical protein	New
VOG10582	Bacteria	3	3	1	1	hypothetical protein	New
VOG10583	Bacteria	3	3	1	0	hypothetical protein	New
VOG10584	Bacteria	3	3	1	0	hypothetical protein	New
VOG10585	Bacteria	3	3	1	0	hypothetical protein	New
VOG10586	Bacteria	3	3	1	0	hypothetical protein	New
VOG10587	Bacteria	3	3	1	0	hypothetical protein	New
VOG10588	Bacteria	3	3	1	0	hypothetical protein	New
VOG10589	Bacteria	3	3	1	1	hypothetical protein	New
VOG10590	Bacteria	3	3	1	1	hypothetical protein	New
VOG10591	Bacteria	3	3	1	1	hypothetical protein	New
VOG10592	Bacteria	3	3	1	1	hypothetical protein	New
VOG10593	Bacteria	3	3	2	2	GDSL-like lipase/acylhydrolase; hypothetical protein	New
VOG10594	Bacteria	3	3	1	1	hypothetical protein	New
VOG10595	Bacteria	3	3	1	0	hypothetical protein	New
VOG10596	Bacteria	3	3	1	0	primase; putative primase	New
VOG10597	Bacteria	3	3	2	0	hypothetical protein; toxin-antitoxin system antitoxin component	New
VOG10598	Bacteria	3	3	1	0	hypothetical protein	New
VOG10599	Bacteria	3	3	1	0	hypothetical protein; putative transcriptional regulator	New
VOG10600	Bacteria	3	3	1	0	hypothetical protein	New
VOG10601	Bacteria	3	3	1	1	gp1; hypothetical protein	New
VOG10602	Bacteria	3	3	0	0	hypothetical protein	New
VOG10603	Bacteria	3	3	0	0	hypothetical protein	New
VOG10604	Bacteria	3	3	0	0	hypothetical protein	New
VOG10605	Bacteria	3	3	0	0	hypothetical protein	New
VOG10606	Bacteria	3	3	0	0	hypothetical protein	New
VOG10607	Bacteria	3	3	0	0	hypothetical protein; prophage protein; putative prophage protein	New
VOG10608	Bacteria	3	3	0	0	hypothetical protein; prophage protein	New
VOG10609	Bacteria	3	3	0	0	hypothetical protein	New
VOG10610	Bacteria	3	3	0	0	hypothetical protein	New
VOG10611	Bacteria	3	3	0	0	hypothetical protein	New
VOG10612	Bacteria	3	3	0	0	hypothetical protein	New
VOG10613	Bacteria	3	3	0	0	hypothetical protein	New
VOG10614	Bacteria	3	3	1	1	hypothetical protein; leishmanolysin-like peptidase	New
VOG10615	Bacteria	3	3	1	0	hypothetical protein	New
VOG10616	Bacteria	3	3	1	0	hypothetical protein	New
VOG10617	Bacteria	3	3	1	0	hypothetical protein	New
VOG10618	Bacteria	3	3	1	0	hypothetical protein	New
VOG10619	Bacteria	3	3	1	1	Hypothetical protein; hypothetical protein	New
VOG10620	Bacteria	3	3	1	0	hypothetical protein	New
VOG10621	Bacteria	3	3	2	0	hypothetical protein	New
VOG10622	Archaea	3	3	0	0	hypothetical membrane protein; hypothetical protein	New
VOG10623	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10624	Bacteria	3	3	1	1	hypothetical protein; putative Rz/Rzl spanin protein	New
VOG10625	Bacteria	3	3	1	0	hypothetical protein	New
VOG10626	Bacteria	3	3	2	0	hypothetical protein	New
VOG10627	Bacteria	3	3	1	0	hypothetical protein	New
VOG10628	Bacteria	3	3	1	0	hypothetical protein	New
VOG10629	Bacteria	3	3	1	0	hypothetical protein	New
VOG10630	Bacteria	3	3	1	0	hypothetical protein	New
VOG10631	Bacteria	3	3	1	0	hypothetical protein	New
VOG10632	Bacteria	3	3	1	0	hypothetical protein	New
VOG10633	Bacteria	3	3	2	0	gp003; gp004; hypothetical protein	New
VOG10634	Bacteria	3	3	1	1	gp80; gp81; hypothetical protein	New
VOG10635	Bacteria	3	3	1	0	hypothetical protein	New
VOG10636	Bacteria	3	3	2	0	-; gp241; hypothetical protein	New
VOG10637	Bacteria	3	3	1	1	gp1; hypothetical protein	New
VOG10638	Bacteria	3	3	1	1	gp44; gp45; hypothetical protein	New
VOG10639	Bacteria	3	3	1	1	gp40; hypothetical protein	New
VOG10640	Bacteria	3	3	1	1	gp47; hypothetical protein	New
VOG10641	Bacteria	3	3	1	1	gp33; gp35; structural protein	New
VOG10642	Bacteria	3	3	1	1	hypothetical membrane protein; hypothetical protein	New
VOG10643	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10644	Bacteria	3	3	1	0	hypothetical protein	New
VOG10645	Bacteria	3	3	1	0	putative predicted product	New
VOG10646	Bacteria	3	3	1	1	hypothetical protein	New
VOG10647	Bacteria	3	3	2	1	hypothetical protein	New
VOG10648	Bacteria	3	3	1	0	hypothetical protein	New
VOG10649	Bacteria	3	3	1	0	hypothetical protein	New
VOG10650	Bacteria	3	3	2	0	hypothetical protein	New
VOG10651	Bacteria	3	3	1	0	-; hypothetical protein; putative lipoprotein	New
VOG10652	Bacteria	3	3	2	1	hypothetical protein	New
VOG10653	Bacteria	3	3	1	0	hypothetical protein	New
VOG10654	Bacteria	3	3	1	0	hypothetical protein; tail tape measure chaperone protein	New
VOG10655	Bacteria	3	3	1	1	gp45; hypothetical protein	New
VOG10656	Bacteria	3	3	1	0	hypothetical protein	New
VOG10657	Bacteria	3	3	1	1	gp80; hypothetical protein	New
VOG10658	Bacteria	3	3	1	1	gp96; hypothetical protein	New
VOG10659	Bacteria	3	3	1	0	hypothetical protein	New
VOG10660	Bacteria	3	3	1	0	hypothetical protein	New
VOG10661	Bacteria	3	3	1	1	hypothetical protein	New
VOG10662	Bacteria	3	3	1	1	hypothetical protein	New
VOG10663	Bacteria	3	3	1	1	hypothetical protein	New
VOG10664	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10665	Bacteria	3	3	1	0	hypothetical protein	New
VOG10666	Bacteria	3	3	1	0	BTLCP-like protein; transglutaminase Cys peptidase	New
VOG10667	Bacteria	3	3	1	0	hypothetical protein	New
VOG10668	Bacteria	3	3	1	0	hypothetical protein	New
VOG10669	Bacteria	3	3	2	0	hypothetical protein	New
VOG10670	Bacteria	3	3	1	0	hypothetical protein	New
VOG10671	Bacteria	3	3	1	0	hypothetical protein	New
VOG10672	Bacteria	3	3	1	0	hypothetical protein	New
VOG10673	Bacteria	3	3	2	0	hypothetical protein; putative predicted product	New
VOG10674	Bacteria	3	3	1	0	hypothetical protein; terminase large subunit	New
VOG10675	Bacteria	3	3	2	0	Phi92_gp243; hypothetical protein	New
VOG10676	Bacteria	3	3	1	0	hypothetical protein	New
VOG10677	Bacteria	3	3	2	0	hypothetical protein; putative predicted product	New
VOG10678	Bacteria	3	3	1	1	hypothetical protein	New
VOG10679	Bacteria	3	3	1	1	hypothetical protein	New
VOG10680	Bacteria	3	3	1	1	hypothetical protein	New
VOG10681	Bacteria	3	3	1	1	hypothetical protein	New
VOG10682	Bacteria	3	3	1	1	hypothetical protein	New
VOG10683	Bacteria	3	3	1	1	hypothetical protein	New
VOG10684	Bacteria	3	3	1	1	hypothetical protein	New
VOG10685	Bacteria	3	3	1	1	hypothetical protein	New
VOG10686	Bacteria	3	3	1	1	hypothetical protein	New
VOG10687	Bacteria	3	3	1	1	hypothetical protein	New
VOG10688	Bacteria	3	3	1	1	hypothetical protein	New
VOG10689	Bacteria	3	3	1	1	hypothetical protein	New
VOG10690	Bacteria	3	3	1	1	hypothetical protein	New
VOG10691	Bacteria	3	3	1	1	hypothetical protein	New
VOG10692	Bacteria	3	3	1	1	hypothetical protein	New
VOG10693	Bacteria	3	3	1	1	hypothetical protein	New
VOG10694	Bacteria	3	3	1	1	hypothetical protein	New
VOG10695	Bacteria	3	3	1	1	hypothetical protein	New
VOG10696	Bacteria	3	3	1	1	hypothetical protein	New
VOG10697	Bacteria	3	3	1	1	hypothetical protein	New
VOG10698	Bacteria	3	3	1	1	hypothetical protein	New
VOG10699	Bacteria	3	3	1	1	hypothetical protein	New
VOG10700	Bacteria	3	3	1	1	hypothetical protein	New
VOG10701	Bacteria	3	3	1	1	hypothetical protein	New
VOG10702	Bacteria	3	3	1	1	hypothetical protein	New
VOG10703	Bacteria	3	3	1	1	hypothetical protein	New
VOG10704	Bacteria	3	3	1	1	hypothetical protein	New
VOG10705	Bacteria	3	3	1	1	hypothetical protein	New
VOG10706	Bacteria	3	3	1	1	hypothetical protein	New
VOG10707	Bacteria	3	3	1	1	hypothetical protein	New
VOG10708	Bacteria	3	3	1	1	hypothetical protein	New
VOG10709	Bacteria	3	3	1	1	hypothetical protein	New
VOG10710	Bacteria	3	3	1	1	hypothetical protein	New
VOG10711	Bacteria	3	3	1	1	hypothetical protein	New
VOG10712	Bacteria	3	3	1	1	hypothetical protein	New
VOG10713	Bacteria	3	3	1	1	hypothetical protein	New
VOG10714	Bacteria	3	3	1	1	hypothetical protein	New
VOG10715	Bacteria	3	3	1	1	hypothetical protein	New
VOG10716	Bacteria	3	3	1	1	hypothetical protein	New
VOG10717	Bacteria	3	3	1	1	putative protein containing Nos-D like domain; putative protein containing NosD-like domain	New
VOG10718	Bacteria	3	3	1	1	hypothetical protein; structural protein	New
VOG10719	Bacteria	3	3	1	1	hypothetical protein; peptidase M15	New
VOG10720	Bacteria	3	3	1	1	hypothetical protein	New
VOG10721	Bacteria	3	3	1	1	hypothetical protein	New
VOG10722	Bacteria	3	3	1	1	hypothetical protein	New
VOG10723	Bacteria	3	3	1	1	hypothetical protein	New
VOG10724	Bacteria	3	3	1	1	HNH DNase; putative homing endonuclease	New
VOG10725	Bacteria	3	3	1	1	hypothetical protein	New
VOG10726	Bacteria	3	3	1	1	hypothetical protein	New
VOG10727	Bacteria	3	3	1	1	hypothetical protein	New
VOG10728	Bacteria	3	3	1	1	hypothetical protein	New
VOG10729	Bacteria	3	3	1	1	hypothetical protein	New
VOG10730	Bacteria	3	3	1	1	hypothetical protein	New
VOG10731	Bacteria	3	3	1	1	hypothetical protein	New
VOG10732	Bacteria	3	3	1	1	hypothetical protein	New
VOG10733	Bacteria	3	3	1	1	hypothetical protein	New
VOG10734	Bacteria	3	3	1	1	hypothetical protein	New
VOG10735	Bacteria	3	3	1	1	hypothetical protein	New
VOG10736	Bacteria	3	3	1	1	hypothetical protein	New
VOG10737	Bacteria	3	3	1	1	elongation factor Ts-like protein	New
VOG10738	Bacteria	3	3	1	1	S-adenosylmethionine decarboxylase; S-adenosylmethionine decarboxylase-like protein	New
VOG10739	Bacteria	3	3	1	1	peptidase-like protein; putative peptidase-like protein	New
VOG10740	Bacteria	3	3	1	1	hypothetical protein	New
VOG10741	Bacteria	3	3	1	1	hypothetical protein	New
VOG10742	Bacteria	3	3	1	1	hypothetical protein	New
VOG10743	Bacteria	3	3	1	1	hypothetical protein	New
VOG10744	Bacteria	3	3	1	1	hypothetical protein	New
VOG10745	Bacteria	3	3	1	1	hypothetical protein	New
VOG10746	Bacteria	3	3	1	1	hypothetical protein	New
VOG10747	Bacteria	3	3	1	1	hypothetical protein	New
VOG10748	Bacteria	3	3	1	1	hypothetical protein	New
VOG10749	Bacteria	3	3	1	1	hypothetical protein	New
VOG10750	Bacteria	3	3	1	1	hypothetical protein	New
VOG10751	Bacteria	3	3	1	1	hypothetical protein	New
VOG10752	Bacteria	3	3	1	1	hypothetical protein	New
VOG10753	Bacteria	3	3	1	1	hypothetical protein	New
VOG10754	Bacteria	3	3	1	1	hypothetical protein	New
VOG10755	Bacteria	3	3	1	1	hypothetical protein	New
VOG10756	Bacteria	3	3	1	1	hypothetical protein	New
VOG10757	Bacteria	3	3	1	1	hypothetical protein	New
VOG10758	Bacteria	3	3	1	1	hypothetical protein	New
VOG10759	Bacteria	3	3	1	1	hypothetical protein	New
VOG10760	Bacteria	3	3	1	1	hypothetical protein	New
VOG10761	Bacteria	3	3	1	1	hypothetical protein	New
VOG10762	Bacteria	3	3	1	1	hypothetical protein	New
VOG10763	Bacteria	3	3	1	1	hypothetical protein; signal peptide protein	New
VOG10764	Bacteria	3	3	1	1	hypothetical protein	New
VOG10765	Bacteria	3	3	1	1	hypothetical protein	New
VOG10766	Bacteria	3	3	1	1	hypothetical protein	New
VOG10767	Bacteria	3	3	1	1	hypothetical protein	New
VOG10768	Bacteria	3	3	1	1	hypothetical protein	New
VOG10769	Bacteria	3	3	1	1	hypothetical protein	New
VOG10770	Bacteria	3	3	1	1	hypothetical protein	New
VOG10771	Bacteria	3	3	1	1	hypothetical protein	New
VOG10772	Bacteria	3	3	1	1	hypothetical protein	New
VOG10773	Bacteria	3	3	1	1	hypothetical protein	New
VOG10774	Bacteria	3	3	1	1	hypothetical protein	New
VOG10775	Bacteria	3	3	1	1	hypothetical protein	New
VOG10776	Bacteria	3	3	1	1	hypothetical protein	New
VOG10777	Bacteria	3	3	1	1	hypothetical protein	New
VOG10778	Bacteria	3	3	1	1	hypothetical protein	New
VOG10779	Bacteria	3	3	1	1	hypothetical protein	New
VOG10780	Bacteria	3	3	1	1	hypothetical protein	New
VOG10781	Bacteria	3	3	1	1	hypothetical protein	New
VOG10782	Bacteria	3	3	1	1	hypothetical protein	New
VOG10783	Bacteria	3	3	1	1	hypothetical protein	New
VOG10784	Bacteria	3	3	1	1	hypothetical protein	New
VOG10785	Bacteria	3	3	1	1	hypothetical protein	New
VOG10786	Bacteria	3	3	1	1	hypothetical protein	New
VOG10787	Bacteria	3	3	1	1	RelA/SpoT family protein	New
VOG10788	Bacteria	3	3	1	1	hypothetical protein	New
VOG10789	Bacteria	3	3	1	1	hypothetical protein	New
VOG10790	Bacteria	3	3	1	1	hypothetical protein	New
VOG10791	Bacteria	3	3	1	1	hypothetical protein	New
VOG10792	Bacteria	3	3	1	1	hypothetical protein	New
VOG10793	Bacteria	3	3	1	1	hypothetical protein	New
VOG10794	Bacteria	3	3	1	1	hypothetical protein	New
VOG10795	Bacteria	3	3	1	1	hypothetical protein	New
VOG10796	Bacteria	3	3	1	1	hypothetical protein	New
VOG10797	Bacteria	3	3	1	1	hypothetical protein	New
VOG10798	Bacteria	3	3	1	1	hypothetical protein	New
VOG10799	Bacteria	3	3	1	1	hypothetical protein	New
VOG10800	Bacteria	3	3	1	1	hypothetical protein	New
VOG10801	Bacteria	3	3	1	1	hypothetical protein	New
VOG10802	Bacteria	3	3	1	1	hypothetical protein	New
VOG10803	Bacteria	3	3	1	1	hypothetical protein	New
VOG10804	Bacteria	3	3	1	1	hypothetical protein	New
VOG10805	Bacteria	3	3	1	1	hypothetical protein	New
VOG10806	Bacteria	3	3	1	1	hypothetical protein	New
VOG10807	Bacteria	3	3	1	1	hypothetical protein	New
VOG10808	Bacteria	3	3	1	1	hypothetical protein	New
VOG10809	Bacteria	3	3	1	1	hypothetical protein	New
VOG10810	Bacteria	3	3	1	1	hypothetical protein	New
VOG10811	Bacteria	3	3	1	1	hypothetical protein	New
VOG10812	Bacteria	3	3	1	1	hypothetical protein	New
VOG10813	Bacteria	3	3	1	1	hypothetical protein	New
VOG10814	Bacteria	3	3	1	1	hypothetical protein	New
VOG10815	Bacteria	3	3	1	1	hypothetical protein	New
VOG10816	Bacteria	3	3	1	1	hypothetical protein	New
VOG10817	Bacteria	3	3	1	1	hypothetical protein	New
VOG10818	Bacteria	3	3	1	1	hypothetical protein	New
VOG10819	Bacteria	3	3	1	1	hypothetical protein	New
VOG10820	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10821	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10822	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10823	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10824	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10825	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10826	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10827	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10828	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10829	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10830	Bacteria	3	3	1	0	hypothetical protein	New
VOG10831	Bacteria	3	3	1	0	hypothetical protein	New
VOG10832	Bacteria	3	3	1	1	ADP-ribosylase; hypothetical protein	New
VOG10833	Bacteria	3	3	1	1	hypothetical protein	New
VOG10834	Bacteria	3	3	1	0	hypothetical protein	New
VOG10835	Bacteria	3	3	1	1	hypothetical protein	New
VOG10836	Bacteria	3	3	1	0	hypothetical protein	New
VOG10837	Bacteria	3	3	1	0	hypothetical protein	New
VOG10838	Bacteria	3	3	1	0	hypothetical protein	New
VOG10839	Bacteria	3	3	1	0	hypothetical protein	New
VOG10840	Bacteria	3	3	1	0	hypothetical protein	New
VOG10841	Bacteria	3	3	1	1	hypothetical protein	New
VOG10842	Bacteria	3	3	1	0	terminase small subunit	New
VOG10843	Bacteria	3	3	1	1	hypothetical protein	New
VOG10844	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10845	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10846	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10847	Bacteria	3	3	1	0	hypothetical protein	New
VOG10848	Bacteria	3	3	1	0	hypothetical protein	New
VOG10849	Bacteria	3	3	1	0	hypothetical protein	New
VOG10850	Bacteria	3	3	1	0	hypothetical protein	New
VOG10851	Bacteria	3	3	1	1	hypothetical protein	New
VOG10852	Bacteria	3	3	1	1	hypothetical protein	New
VOG10853	Bacteria	3	3	1	1	hypothetical protein; secreted glycosyl hydrolase	New
VOG10854	Bacteria	3	3	2	1	hypothetical protein	New
VOG10855	Bacteria	3	3	2	0	hypothetical protein	New
VOG10856	Bacteria	3	3	1	1	DNA topoisomerase II large subunit C-terminal region; putative predicted product; topoisomerase II large subunit	New
VOG10857	Bacteria	3	3	1	1	hypothetical protein	New
VOG10858	Bacteria	3	3	1	1	hypothetical protein	New
VOG10859	Bacteria	3	3	1	1	hypothetical protein	New
VOG10860	Bacteria	3	3	1	1	hypothetical protein	New
VOG10861	Bacteria	3	3	1	1	gp22; hypothetical protein; minor tail subunit	New
VOG10862	Bacteria	3	3	1	0	hypothetical protein	New
VOG10863	Bacteria	3	3	1	0	hypothetical protein	New
VOG10864	Bacteria	3	3	1	0	hypothetical protein	New
VOG10865	Bacteria	3	3	1	0	hypothetical protein	New
VOG10866	Bacteria	3	3	1	0	hypothetical protein	New
VOG10867	Bacteria	3	3	1	0	hypothetical protein	New
