L1	L2	L3	KO	Function	EC
Function unknown	Uncharacterized conserved protein YwbE, DUF2196 family		COG4895	YwbE:	
Function unknown	Uncharacterized conserved protein YlaI, DUF2197 family		COG4896	YlaI:	
Function unknown	General stress protein CsbA (function unknown)		COG4897	CsbA:	
Function unknown	Uncharacterized conserved protein		COG4898	:	
Function unknown	Uncharacterized conserved protein, DUF2199 domain		COG4899	:	
General function prediction only	Predicted metallopeptidase		COG4900	:	
Translation, ribosomal structure and biogenesis	Ribosomal protein S25e		COG4901	RPS25:Archaeal ribosomal proteins	
General function prediction only	Ferritin-like protein MJ0754, DUF2202 family		COG4902	MJ0754:	
Transcription	Competence transcription factor ComK		COG4903	ComK:	
Function unknown	Uncharacterized conserved protein		COG4904	:	
Function unknown	Uncharacterized membrane protein		COG4905	:	
Function unknown	Uncharacterized membrane protein		COG4906	:	
Function unknown	Uncharacterized membrane protein		COG4907	:	
General function prediction only	Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain		COG4908	:	
Secondary metabolites biosynthesis, transport and catabolism	Propanediol dehydratase, large subunit		COG4909	PduC:	
Secondary metabolites biosynthesis, transport and catabolism	Propanediol dehydratase, small subunit		COG4910	PduE:	
Function unknown	Uncharacterized conserved protein, DUF2203 domain		COG4911	:	
Replication, recombination and repair	3-methyladenine DNA glycosylase AlkD		COG4912	AlkD:	
Function unknown	Uncharacterized conserved protein, contains a C-terminal ATPase domain		COG4913	:	
General function prediction only	Predicted nucleotidyltransferase		COG4914	:	
Secondary metabolites biosynthesis, transport and catabolism	5-bromo-4-chloroindolyl phosphatase XpaC		COG4915	XpaC:	
General function prediction only	5-bromo-4-chloroindolyl phosphatase XpaC		COG4915	XpaC:	
Function unknown	Uncharacterized conserved protein		COG4916	:	
Amino acid transport and metabolism	Ethanolamine utilization protein EutP, contains a P-loop NTPase domain		COG4917	EutP:	
General function prediction only	Predicted Fe-S cluster biosynthesis protein YqkB		COG4918	YqkB:	
Translation, ribosomal structure and biogenesis	Ribosomal protein S30		COG4919	RPS30:Archaeal ribosomal proteins	
Function unknown	Uncharacterized membrane protein		COG4920	:	
Function unknown	Uncharacterized conserved protein, DUF2209 domain		COG4921	:	
General function prediction only	Predicted SnoaL-like aldol condensation-catalyzing enzyme		COG4922	:	
General function prediction only	Predicted nuclease (RNAse H fold)		COG4923	:	
Function unknown	Uncharacterized conserved protein		COG4924	:	
Function unknown	Uncharacterized conserved protein		COG4925	:	
Mobilome: prophages, transposons	Phage-related protein		COG4926	PblB:	
General function prediction only	Predicted choloylglycine hydrolase		COG4927	:	
General function prediction only	Predicted P-loop ATPase, KAP-like		COG4928	:	
Function unknown	Uncharacterized membrane-anchored protein		COG4929	:	
Posttranslational modification, protein turnover, chaperones	Predicted ATP-dependent Lon-type protease		COG4930	:	
Cell wall/membrane/envelope biogenesis	Clumping factor A-related surface protein, MSCRAMM (microbial surface components recognizing adhesive matrix molecules) family, DEv-IgG fold		COG4932	ClfA:	
Transcription	Predicted transcriptional regulator, contains an HTH and PUA-like domains		COG4933	:	
Posttranslational modification, protein turnover, chaperones	Serine protease, subtilase family		COG4934	:	
Posttranslational modification, protein turnover, chaperones	Regulatory P domain of the subtilisin-like proprotein convertases and other proteases		COG4935	:	
Signal transduction mechanisms	Ligand-binding sensor domain		COG4936	PocR:	
Translation, ribosomal structure and biogenesis	Ferredoxin-fold anticodon binding domain		COG4937	FDXACB:	
General function prediction only	Predicted ATPase		COG4938	:	
Function unknown	Membrane-anchored lipoprotein Tpp15, major membrane immunogen		COG4939	Tpp15:	
Mobilome: prophages, transposons	Competence protein ComGF		COG4940	ComGF:	
Transcription	Predicted RNA polymerase sigma factor, contains C-terminal TPR domain		COG4941	:	
Cell cycle control, cell division, chromosome partitioning	Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB		COG4942	EnvC:	
Signal transduction mechanisms	Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains		COG4943	YjcC:	
Function unknown	Uncharacterized conserved protein		COG4944	:	
Carbohydrate transport and metabolism	Carbohydrate-binding DOMON domain		COG4945	DOMON:	
Signal transduction mechanisms	Carbohydrate-binding DOMON domain		COG4945	DOMON:	
Function unknown	Uncharacterized N-terminal domain of tricorn protease, contains WD40 repeats		COG4946	:	
General function prediction only	Esterase/lipase superfamily enzyme		COG4947	:	
Cell wall/membrane/envelope biogenesis	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily		COG4948	RspA:Non-phosphorylated Entner-Doudoroff pathway	
General function prediction only	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily		COG4948	RspA:Non-phosphorylated Entner-Doudoroff pathway	
Function unknown	Uncharacterized membrane-anchored protein		COG4949	:	
Function unknown	N-terminal domain of uncharacterized protein YciW (function unknown)		COG4950	YciW1:	
Function unknown	Uncharacterized conserved protein		COG4951	:	
Cell wall/membrane/envelope biogenesis	L-rhamnose isomerase		COG4952	:	
Cell wall/membrane/envelope biogenesis	Membrane carboxypeptidase/penicillin-binding protein PbpC		COG4953	PbpC:	
Function unknown	Uncharacterized conserved protein, DUF2000 domain		COG4954	:	
Function unknown	Uncharacterized conserved protein YpbB, contains C-terminal HTH domain		COG4955	YpbB:	
General function prediction only	Uncharacterized conserved protein YacL, contains PIN and TRAM domains		COG4956	:	
Transcription	Predicted transcriptional regulator		COG4957	:	
Posttranslational modification, protein turnover, chaperones	Type IV secretory pathway, protease TraF		COG4959	TraF:	
Intracellular trafficking, secretion, and vesicular transport	Type IV secretory pathway, protease TraF		COG4959	TraF:	
Posttranslational modification, protein turnover, chaperones	Flp pilus assembly protein, peptidase CpaA		COG4960	CpaA:	
Signal transduction mechanisms	Flp pilus assembly protein, peptidase CpaA		COG4960	CpaA:	
Intracellular trafficking, secretion, and vesicular transport	Flp pilus assembly protein TadG, includes N-terminal TadE domain		COG4961	TadG:	
Extracellular structures	Flp pilus assembly protein TadG, includes N-terminal TadE domain		COG4961	TadG:	
Intracellular trafficking, secretion, and vesicular transport	Pilus assembly protein, ATPase of CpaF family		COG4962	CpaF:	
Extracellular structures	Pilus assembly protein, ATPase of CpaF family		COG4962	CpaF:	
Intracellular trafficking, secretion, and vesicular transport	Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain		COG4963	CpaE:	
Extracellular structures	Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain		COG4963	CpaE:	
Intracellular trafficking, secretion, and vesicular transport	Flp pilus assembly protein, secretin CpaC		COG4964	CpaC:	
Extracellular structures	Flp pilus assembly protein, secretin CpaC		COG4964	CpaC:	
Intracellular trafficking, secretion, and vesicular transport	Flp pilus assembly protein TadB		COG4965	TadB:	
Extracellular structures	Flp pilus assembly protein TadB		COG4965	TadB:	
Cell motility	Type IV pilus assembly protein PilW		COG4966	PilW:	
Extracellular structures	Type IV pilus assembly protein PilW		COG4966	PilW:	
Cell motility	Type IV pilus assembly protein PilV		COG4967	PilV:	
Extracellular structures	Type IV pilus assembly protein PilV		COG4967	PilV:	
Cell motility	Type IV pilus assembly protein PilE		COG4968	PilE:	
Extracellular structures	Type IV pilus assembly protein PilE		COG4968	PilE:	
Cell motility	Type IV pilus assembly protein, major pilin PilA		COG4969	PilA:	
Extracellular structures	Type IV pilus assembly protein, major pilin PilA		COG4969	PilA:	
Cell motility	Type IV pilus assembly protein FimT		COG4970	FimT:	
Extracellular structures	Type IV pilus assembly protein FimT		COG4970	FimT:	
Cell motility	Type IV pilus assembly protein, ATPase PilM		COG4972	PilM:	
Extracellular structures	Type IV pilus assembly protein, ATPase PilM		COG4972	PilM:	
Replication, recombination and repair	Site-specific recombinase XerC		COG4973	XerC:	
Replication, recombination and repair	Site-specific recombinase XerD		COG4974	XerD:	
Carbohydrate transport and metabolism	Glucose uptake protein GlcU		COG4975	GlcU:	
General function prediction only	Predicted methyltransferase, contains TPR repeat		COG4976	:	
Transcription	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain		COG4977	GlxA:	
Signal transduction mechanisms	GyrI-like small molecule binding domain		COG4978	BltR2:	
General function prediction only	Gas vesicle protein YhaH		COG4980	GvpP:	
Lipid transport and metabolism	Enoyl reductase domain of yeast-type fatty acid synthase		COG4981	:	
Lipid transport and metabolism	3-oxoacyl-ACP reductase domain of yeast-type fatty acid synthase FAS1		COG4982	FabG2:	
Mobilome: prophages, transposons	Primase-polymerase (Primpol) domain protein		COG4983	:	
Function unknown	Uncharacterized membrane protein		COG4984	:	
Inorganic ion transport and metabolism	ABC-type phosphate transport system, auxiliary component PstA		COG4985	PstA:	
Inorganic ion transport and metabolism	ABC-type anion transport system, duplicated permease component		COG4986	:	
Energy production and conversion	ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components		COG4987	CydC:	
Posttranslational modification, protein turnover, chaperones	ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components		COG4987	CydC:	
Energy production and conversion	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components		COG4988	CydD:	
Posttranslational modification, protein turnover, chaperones	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components		COG4988	CydD:	
General function prediction only	Predicted oxidoreductase YdhF		COG4989	YdhF:	
General function prediction only	Predicted cysteine peptidase, C39 family		COG4990	YvpB:	
Function unknown	Uncharacterized conserved protein YraI		COG4991	YraI:	
Amino acid transport and metabolism	Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase		COG4992	ArgD:Arginine biosynthesis	
Carbohydrate transport and metabolism	Glucose dehydrogenase, PQQ-dependent		COG4993	Gcd:	
Function unknown	Uncharacterized protein CV0675, UCP033623 family		COG4994	:	
Function unknown	Uncharacterized conserved protein, contains CHAT domain		COG4995	:	
General function prediction only	Predicted phosphatase		COG4996	:	
General function prediction only	Predicted house-cleaning noncanonical NTP pyrophosphatase, all-alpha NTP-PPase (MazG) superfamily		COG4997	:	
Replication, recombination and repair	Predicted endonuclease, RecB family		COG4998	RecB2:	
Signal transduction mechanisms	Uncharacterized domain of signal transduction histidine kinase BarA		COG4999	BarA5:	
Signal transduction mechanisms	Signal transduction histidine kinase NtrY involved in nitrogen fixation and metabolism regulation		COG5000	NtrY:	
Signal transduction mechanisms	Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain		COG5001	:	
Signal transduction mechanisms	Sensor histidine kinase WalK		COG5002	WalK:	
Mobilome: prophages, transposons	Mu-like prophage protein gp37		COG5003	gp37:	
Mobilome: prophages, transposons	P2-like prophage tail protein X		COG5004	gpX:	
Mobilome: prophages, transposons	Mu-like prophage protein gpG		COG5005	gpG:	
Amino acid transport and metabolism	Threonine/homoserine efflux transporter RhtA		COG5006	RhtA:	
Signal transduction mechanisms	Acid stress protein IbaG/YrbA, BolA-like family		COG5007	IbaG:	
Cell motility	Type IV pilus assembly protein, ATPase PilU		COG5008	PilU:	
Extracellular structures	Type IV pilus assembly protein, ATPase PilU		COG5008	PilU:	
Cell wall/membrane/envelope biogenesis	Membrane carboxypeptidase/penicillin-binding protein		COG5009	MrcA:	
Intracellular trafficking, secretion, and vesicular transport	Flp pilus assembly protein TadD, contains TPR repeats		COG5010	TadD:	
Extracellular structures	Flp pilus assembly protein TadD, contains TPR repeats		COG5010	TadD:	
Function unknown	Uncharacterized conserved protein, DUF2344 family		COG5011	:	
Energy production and conversion	Methanogenic corrinoid protein MtbC1		COG5012	MtbC1:	
Energy production and conversion	Nitrate reductase alpha subunit		COG5013	NarG:	
Inorganic ion transport and metabolism	Nitrate reductase alpha subunit		COG5013	NarG:	
General function prediction only	Uncharacterized conserved protein TM0948, MoaA-related, radical SAM superfamily		COG5014	TM0948:	
General function prediction only	Pyridoxamine 5'-phosphate oxidase (PNPOx-like) family protein		COG5015	:	
Energy production and conversion	Pyruvate/oxaloacetate carboxyltransferase		COG5016	OadA1:Urea cycle	
Carbohydrate transport and metabolism	UDP-N-acetylglucosamine transferase subunit ALG13		COG5017	:	
Signal transduction mechanisms	3'-5' exonuclease KapD, inhibitor of KinA-controlled sporulation		COG5018	KapD:	
Cytoskeleton	Tubulin		COG5023	:	
