L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG30688	hypothetical protein		
Function unknown	VOG30689	hypothetical protein		
Function unknown	VOG30690	nonstructural protein		
Function unknown	VOG30691	F-box domain containing protein		
Function unknown	VOG30692	hypothetical protein		
Function unknown	VOG30693	hypothetical protein		
Function unknown	VOG30694	hypothetical protein		
Function unknown	VOG30695	hypothetical protein		
Function unknown	VOG30696	hypothetical protein		
Function unknown	VOG30697	hypothetical protein		
Function unknown	VOG30698	hypothetical protein		
Function unknown	VOG30699	hypothetical protein		
Function unknown	VOG30700	hypothetical protein		
Function unknown	VOG30701	hypothetical protein		
Function unknown	VOG30702	hypothetical protein		
Function unknown	VOG30703	hypothetical protein		
Function unknown	VOG30704	membrane protein		
Function unknown	VOG30705	hypothetical protein		
Function unknown	VOG30706	hypothetical protein		
Function unknown	VOG30707	hypothetical protein		
Function unknown	VOG30708	hypothetical protein		
Function unknown	VOG30709	gamma protein		
Function unknown	VOG30710	hypothetical protein		
Function unknown	VOG30711	hypothetical protein		
Function unknown	VOG30712	hypothetical protein		
Function unknown	VOG30713	hypothetical protein		
Function unknown	VOG30714	hypothetical protein		
Function unknown	VOG30715	hypothetical protein		
Function unknown	VOG30716	hypothetical protein		
Function unknown	VOG30717	hypothetical protein		
Function unknown	VOG30718	gp54		
Function unknown	VOG30719	hypothetical protein		
Function unknown	VOG30720	hypothetical protein		
Function unknown	VOG30721	Uncharacterized protein ORF22		VG22_ICHVA
Virus protein with function beneficial for the virus | Virus structure	VOG30722	Attachment protein G3P		G3P_BPPF1
Function unknown	VOG30723	Protein B1		B1_BBV
Function unknown	VOG30724	gp44		
Function unknown	VOG30725	hypothetical protein		
Function unknown	VOG30726	hypothetical protein		
Function unknown	VOG30727	hypothetical protein		
Function unknown	VOG30728	hypothetical protein		
Function unknown	VOG30729	tail assembly chaperone		
Function unknown	VOG30730	hypothetical protein		
Function unknown	VOG30731	hypothetical protein		
Function unknown	VOG30732	hypothetical protein		
Function unknown	VOG30733	hypothetical protein		
Function unknown	VOG30734	hypothetical protein		
Function unknown	VOG30735	hypothetical protein		
Function unknown	VOG30736	hypothetical protein		
Function unknown	VOG30737	hypothetical protein		
Function unknown	VOG30738	hypothetical protein		
Function unknown	VOG30739	hypothetical protein		
Function unknown	VOG30740	hypothetical protein		
Function unknown	VOG30741	ORF167		
Function unknown	VOG30742	hypothetical protein		
Function unknown	VOG30743	hypothetical protein		
Function unknown	VOG30744	hypothetical protein		
Function unknown	VOG30745	hypothetical protein		
Function unknown	VOG30746	signal peptide protein		
Function unknown	VOG30747	hypothetical protein		
Function unknown	VOG30748	gp66		
Function unknown	VOG30749	hypothetical protein		
Function unknown	VOG30750	hypothetical protein		
Virus structure	VOG30751	Uncharacterized protein R695		YR695_MIMIV
Function unknown	VOG30752	hypothetical protein		
Function unknown	VOG30753	hypothetical protein		
Function unknown	VOG30754	hypothetical protein		
Function unknown	VOG30755	hypothetical protein		
Function unknown	VOG30756	putative orfan		
Function unknown	VOG30757	hypothetical protein		
Function unknown	VOG30758	hypothetical protein		
Function unknown	VOG30759	hypothetical protein		
Function unknown	VOG30760	hypothetical protein		
Function unknown	VOG30761	hypothetical protein		
Function unknown	VOG30762	hypothetical protein		
Function unknown	VOG30763	RING finger protein 146		
Function unknown	VOG30764	HTH DNA binding protein		
Function unknown	VOG30765	hypothetical protein		
Function unknown	VOG30766	hypothetical protein		
Function unknown	VOG30767	hypothetical protein		
Function unknown	VOG30768	hypothetical protein		
Function unknown	VOG30769	hypothetical protein		
Function unknown	VOG30770	hypothetical protein		
Function unknown	VOG30771	HTH DNA binding protein		
Function unknown	VOG30772	hypothetical protein		
Function unknown	VOG30773	Uncharacterized protein L52		YL052_MIMIV
Function unknown	VOG30774	hypothetical protein		
Function unknown	VOG30775	hypothetical protein		
Function unknown	VOG30776	hypothetical protein		
Function unknown	VOG30777	hypothetical protein		
Function unknown	VOG30778	hypothetical protein		
Function unknown	VOG30779	hypothetical protein		
Function unknown	VOG30780	hypothetical protein		
Function unknown	VOG30781	hypothetical protein		
Function unknown	VOG30782	hypothetical protein		
Function unknown	VOG30783	hypothetical protein		
Function unknown	VOG30784	hypothetical protein		
Function unknown	VOG30785	hypothetical protein		
Function unknown	VOG30786	hypothetical protein		
Function unknown	VOG30787	hypothetical protein		
Function unknown	VOG30788	hypothetical protein		
Function unknown	VOG30789	hypothetical protein		
Function unknown	VOG30790	hypothetical protein		
Function unknown	VOG30791	hypothetical protein		
Function unknown	VOG30792	hypothetical protein		
Function unknown	VOG30793	hypothetical protein		
Function unknown	VOG30794	hypothetical protein		
Function unknown	VOG30795	hypothetical protein		
Function unknown	VOG30796	hypothetical protein		
Function unknown	VOG30797	virion structural protein		
Function unknown	VOG30798	hypothetical protein		
Function unknown	VOG30799	hypothetical protein		
Function unknown	VOG30800	hypothetical protein		
Function unknown	VOG30801	hypothetical protein		
Function unknown	VOG30802	hypothetical protein		
Function unknown	VOG30803	Transmembrane protein B66L		VFB66_ASFK5
Function unknown	VOG30804	hypothetical protein		
Function unknown	VOG30805	hypothetical protein		
Function unknown	VOG30806	hypothetical protein		
Function unknown	VOG30807	hypothetical protein		
Function unknown	VOG30808	replication protein		
Function unknown	VOG30809	hypothetical protein		
Function unknown	VOG30810	hypothetical protein		
Virus protein with function beneficial for the host	VOG30811	Innexin inx2		INX2_DROME
Function unknown	VOG30812	E5		
Function unknown	VOG30813	hypothetical protein		
Function unknown	VOG30814	gp32.7		
Function unknown	VOG30815	hypothetical protein		
Function unknown	VOG30816	hypothetical protein		
Function unknown	VOG30817	hypothetical protein		
Function unknown	VOG30818	hypothetical protein		
Function unknown	VOG30819	hypothetical protein		
Function unknown	VOG30820	hypothetical protein		
Function unknown	VOG30821	hypothetical protein		
Function unknown	VOG30822	hypothetical protein		
Function unknown	VOG30823	hypothetical protein		
Function unknown	VOG30824	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG30825	RNA1 polyprotein		POL1_CPSMV
Function unknown	VOG30826	hypothetical protein		
Function unknown	VOG30827	hypothetical protein		
Function unknown	VOG30828	hypothetical protein		
Function unknown	VOG30829	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG30830	RNA-directed RNA polymerase		RDRP_ROTBN
Function unknown	VOG30831	gp633		
Function unknown	VOG30832	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG30833	Tail tube terminator protein p142		TTTP_BPT5
Function unknown	VOG30834	hypothetical protein		
Virus protein with function beneficial for the host	VOG30835	Probable choline kinase 2		CK2_ARATH
Function unknown	VOG30836	hypothetical protein		
Function unknown	VOG30837	hypothetical protein		
Function unknown	VOG30838	hypothetical protein		
Function unknown	VOG30839	hypothetical protein		
Function unknown	VOG30840	hypothetical protein		
Function unknown	VOG30841	hypothetical protein		
Function unknown	VOG30842	hypothetical protein		
Function unknown	VOG30843	Uncharacterized protein ORF86		Y086_ABVP
Function unknown	VOG30844	Ac81-like protein		
Function unknown	VOG30845	hypothetical protein		
Function unknown	VOG30846	hypothetical protein		
Function unknown	VOG30847	hypothetical protein		
Function unknown	VOG30848	hypothetical protein		
Function unknown	VOG30849	hypothetical protein		
Function unknown	VOG30850	Uncharacterized protein 075L		075L_FRG3G
Function unknown	VOG30851	hypothetical protein		
Function unknown	VOG30852	hypothetical protein		
Function unknown	VOG30853	Profilin		PROF_MONPV
Function unknown	VOG30854	Cro protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG30855	Large delta antigen		LHDAG_HDVV2
Function unknown	VOG30856	hypothetical protein		
Function unknown	VOG30857	hypothetical protein		
Function unknown	VOG30858	hypothetical protein		
Function unknown	VOG30859	hypothetical protein		
Function unknown	VOG30860	hypothetical protein		
Function unknown	VOG30861	ORF10		
Function unknown	VOG30862	hypothetical protein		
Function unknown	VOG30863	hypothetical protein		
Function unknown	VOG30864	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG30865	Genome polyprotein		POLG_MVEV5
Function unknown	VOG30866	hypothetical protein		
Function unknown	VOG30867	hypothetical protein		
Function unknown	VOG30868	hypothetical protein		
Function unknown	VOG30869	hypothetical protein		
Function unknown	VOG30870	hypothetical protein		
Function unknown	VOG30871	hypothetical protein		
Function unknown	VOG30872	hypothetical protein		
Function unknown	VOG30873	hypothetical protein		
Function unknown	VOG30874	hypothetical protein		
Function unknown	VOG30875	hypothetical protein		
Function unknown	VOG30876	hypothetical protein		
Function unknown	VOG30877	hypothetical protein		
Function unknown	VOG30878	hypothetical protein		
Function unknown	VOG30879	hypothetical protein		
Function unknown	VOG30880	hypothetical protein		
Function unknown	VOG30881	hypothetical protein		
Function unknown	VOG30882	methyltransferase		
Function unknown	VOG30883	hypothetical protein		
Function unknown	VOG30884	hypothetical protein		
Function unknown	VOG30885	hypothetical protein		
Function unknown	VOG30886	hypothetical protein		
Function unknown	VOG30887	hypothetical protein		
Function unknown	VOG30888	hypothetical protein		
Function unknown	VOG30889	hypothetical protein		
Function unknown	VOG30890	hypothetical protein		
Function unknown	VOG30891	hypothetical protein		
Function unknown	VOG30892	hypothetical protein		
Function unknown	VOG30893	hypothetical protein		
Function unknown	VOG30894	hypothetical protein		
Function unknown	VOG30895	RNA polymerase beta subunit		
Function unknown	VOG30896	hypothetical protein		
Function unknown	VOG30897	hypothetical protein		
Function unknown	VOG30898	hypothetical protein		
Function unknown	VOG30899	hypothetical protein		
Function unknown	VOG30900	Uncharacterized protein 041L		041L_IIV6
Virus protein with function beneficial for the host | Virus replication	VOG30901	DNA polymerase III subunit alpha		DPO3A_THEAQ
Function unknown	VOG30902	Non-structural protein 3c		NS3C_BC133
Function unknown	VOG30903	ORF73		
Function unknown	VOG30904	maturation protein		
Function unknown	VOG30905	hypothetical protein		
Function unknown	VOG30906	hypothetical protein		
Function unknown	VOG30907	hypothetical protein		
Function unknown	VOG30908	hypothetical protein		
Function unknown	VOG30909	uncharacterized protein		
Function unknown	VOG30910	hypothetical protein		
Function unknown	VOG30911	hypothetical protein		
Function unknown	VOG30912	hypothetical protein		
Function unknown	VOG30913	hypothetical protein		
Function unknown	VOG30914	hypothetical protein		
Function unknown	VOG30915	hypothetical protein		
Function unknown	VOG30916	hypothetical protein		
Function unknown	VOG30917	hypothetical protein		
Function unknown	VOG30918	Lsr2-like DNA bridging protein		
Function unknown	VOG30919	hypothetical protein		
Function unknown	VOG30920	hypothetical protein		
Function unknown	VOG30921	hypothetical protein		
Function unknown	VOG30922	hypothetical protein		
Function unknown	VOG30923	hypothetical protein		
Function unknown	VOG30924	hypothetical protein		
Function unknown	VOG30925	hypothetical protein		
Function unknown	VOG30926	hypothetical protein		
Function unknown	VOG30927	hypothetical protein		
Function unknown	VOG30928	hypothetical protein		
Function unknown	VOG30929	hypothetical protein		
Function unknown	VOG30930	membrane protein		
Function unknown	VOG30931	Uncharacterized 9.4 kDa protein in nrdC-mobD intergenic region		Y04M_BPT4
Function unknown	VOG30932	hypothetical protein		
Virus protein with function beneficial for the host	VOG30933	Phosphomannomutase 2		PMM2_BOVIN
